BRKDCT-3313,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKDCT-3313.mp4,FabricPath Operation and Troubleshooting (2016 Las Vegas)
BRKNMS-1300,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKNMS-1300.mp4,Scan. Analyze. Improve!Reduce Risk and Improve Network
BRKNMS-2847,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKNMS-2847.mp4,Wireless Troubleshooting with Cisco Prime Infrastructure
BRKSPG-2116,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSPG-2116.mp4,Advances in IP+Optical (2016 Las Vegas)
BRKARC-2031,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKARC-2031.mp4,QoS Config Migrations From Classic IOS to IOS XE (2016 Las
BRKRST-2042,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKRST-2042.mp4,Highly Available Wide Area Network Design (2016 Las Vegas)
BRKEWN-2019,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKEWN-2019.mp4,7 Ways to Fail as a Wireless Expert (2016 Las Vegas)
BRKRST-3045,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKRST-3045.mp4,LISP A Next Generation Networking Architecture (2016 Las
BRKCRS-1500,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCRS-1500.mp4,Campus Wired LAN Deployment Using Cisco Validated Designs
BRKDCN-1200,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKDCN-1200.mp4,Workload Automation in Cisco's Programmable Fabric (Nexus
BRKRST-2309,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKRST-2309.mp4,Introduction To WAN MACSec Aligning Encryption
BRKSDN-2750,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSDN-2750.mp4,SDN Controllers A Use Case Driven Approach (2016 Las
BRKCOM-1123,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCOM-1123.mp4,UCS Mini Overview (2016 Las Vegas)
BRKSEC-3052,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSEC-3052.mp4,Troubleshooting DMVPNs (2016 Las Vegas)
BRKRST-3321,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKRST-3321.mp4,Advanced Scaling BGP (2016 Las Vegas)
BRKNMS-2800,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKNMS-2800.mp4,Putting the Puzzle Together: the Architecture of Network
BRKDCT-2333,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKDCT-2333.mp4,Data Center Network Failure Detection (2016 Las Vegas)
BRKSDN-2115,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSDN-2115.mp4,Introduction to Containers and Container Networking (2016
BRKAPP-2027,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKAPP-2027.mp4,Big Data Architecture and Deployment (2016 Las Vegas)
BRKRST-2124,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKRST-2124.mp4,Introduction to Segment Routing (2016 Las Vegas)
BRKCRS-2400,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCRS-2400.mp4,Build and Operate your Network Using Advanced Analytics in
BRKCRT-1111,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCRT-1111.mp4,Build and Grow Your Career with Cisco Certifications (2016
BRKRST-2041,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKRST-2041.mp4,WAN Architectures and Design Principles (2016 Las Vegas)
BRKCLD-1003,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCLD-1003.mp4,A Practical Introduction To DevOps practices and Tools
